Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
109,"team0926 fduteam06 复旦大学",5,11:20:24,"00:10:00 (-1)",,,"03:56:20 (-5)","02:05:22 (-2)",01:23:42,,(-2),,"00:45:00 (-1)",,(-3),
110,"team0816 nbu8 宁波大学",5,11:20:26,"00:31:43 (-1)",(-1),,"03:18:31 (-6)",03:17:43,01:07:07,,,,"00:25:22 (-1)",,,
111,"team0896 厦大四队 厦门大学",5,11:26:46,00:20:56,,,03:26:51,"04:08:45 (-2)","01:35:19 (-1)",,,,00:54:55,,,
112,"team0958 巴巴爸爸变变变 个人训练",5,11:27:48,00:10:07,,,"03:49:11 (-4)",02:13:45,01:52:43,,,,"01:02:02 (-3)",,,
113,"team0278 RJ消灭计划 中国地质大学（武汉）",5,11:35:56,00:15:11,,,"03:51:24 (-1)","04:12:00 (-1)",01:51:20,,,,00:46:01,,(-1),
114,"team0233 浙江财经大学1队 浙江财经大学",5,11:42:17,"00:24:40 (-3)",,,01:22:54,01:12:31,"00:31:33 (-2)",,,,"02:30:39 (-12)",,,
115,"team0354 HNUTEAM03 湖南大学",5,11:42:42,00:29:02,,(-3),02:13:48,"01:13:51 (-1)","01:46:33 (-1)",,"04:59:28 (-1)",,(-8),,,
116,"team0179 苏州大学1队 苏州大学",5,11:47:32,00:13:48,,,"04:25:46 (-4)",02:03:03,01:07:17,,,,"01:17:38 (-4)",,,
117,"team0308 华附3队 华南师范大学附属中学",5,11:49:00,"00:16:11 (-2)",,,"01:42:01 (-3)","02:25:44 (-2)",00:58:33,,(-6),,"02:06:31 (-6)",,,(-2)
118,"team0201 nyw 重庆邮电大学",5,11:58:52,"00:12:47 (-1)",,,"04:03:36 (-2)","02:55:10 (-2)","01:42:04 (-1)",,,,"00:45:15 (-1)",,,
119,"team0224 _clear._ 上海师范大学",5,11:59:00,00:12:57,,,03:35:18,03:51:11,01:26:02,,,,"02:33:32 (-1)",,,
120,"team0560 FZU5 福州大学",5,11:59:26,00:13:11,,(-1),"03:55:05 (-4)",03:27:40,"01:19:26 (-1)",,(-1),,01:24:04,,,
121,"team0184 葬送的acmer与香辛料 中国传媒大学",5,12:08:42,00:06:30,,,"02:55:48 (-4)","03:09:52 (-3)",01:32:26,,(-1),,"01:04:06 (-3)",,,
122,"team0625 新生也疯狂-2 杭州电子科技大学",5,12:12:46,00:43:06,,,"02:50:41 (-2)",03:56:05,00:31:27,,,,"02:31:27 (-3)",,,
123,"team0591 提姆玩 天津大学",5,12:15:56,00:19:14,,,"03:40:17 (-2)",03:50:10,"01:22:06 (-1)",,,,02:04:09,,,
124,"team0151 ZJNU-3 浙江师范大学",5,12:25:12,"00:17:28 (-2)",,,"03:05:21 (-1)",03:26:35,"01:37:58 (-1)",,,,"02:17:50 (-1)",,,
125,"team0587 UESTC-7队 电子科技大学",5,12:30:43,"00:08:06 (-1)",(-3),,"02:54:39 (-1)","03:25:52 (-4)",01:01:54,,,,"01:40:12 (-4)",,(-10),
126,"team0554 温中4队 温州中学",5,12:31:59,00:06:44,(-2),,"04:56:47 (-2)",03:10:52,01:54:07,,,,01:43:29,,,
