Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
56,"team0858 NJU-T17 南京大学",6,12:24:09,(-2),,"03:05:25 (-4)",01:52:02,,(-1),02:08:49,"00:53:09 (-1)",,"01:36:32 (-1)","00:28:12 (-1)",
57,"team0941 HKUST(GZ)006 香港科技大学",6,12:29:32,,,,"01:57:07 (-1)",(-5),00:52:59,01:36:03,"01:53:06 (-1)",,"03:14:56 (-1)","01:35:21 (-1)",
58,"team0804 gemini6.0 南开大学",6,13:28:10,,,,01:22:17,"04:26:44 (-1)",,"02:23:15 (-1)","01:33:00 (-1)",,01:38:21,"00:44:33 (-1)",
59,"team0582 UESTC-2队 电子科技大学",6,13:32:56,,,,"01:56:14 (-1)",,"04:46:32 (-2)",02:27:31,"00:59:22 (-1)",,"01:19:34 (-1)",00:23:43,
60,"team0945 HKUST(GZ)010 香港科技大学",6,13:45:33,,,,00:42:32,,03:34:31,"02:49:17 (-1)","01:04:02 (-2)",,"02:14:40 (-1)","01:20:31 (-2)",
61,"team0240 NUIST_亡灵契约师 南京信息工程大学",6,14:27:16,,,,"03:11:01 (-3)",,01:16:30,04:28:35,01:12:15,,01:55:20,"00:43:35 (-2)",
62,"team0587 UESTC-7队 电子科技大学",6,14:34:36,(-2),03:38:27,,"02:03:30 (-2)",,,"02:57:06 (-5)","01:23:20 (-1)",,"00:52:44 (-1)","00:19:29 (-1)",
63,"team0808 六兆年零一夜的ACM 西安交通大学",6,14:36:28,"04:02:31 (-1)",,,02:14:33,,,00:51:08,"01:17:24 (-1)",,"01:40:47 (-1)","02:30:05 (-3)",
64,"team0893 厦大一队 厦门大学",6,14:36:54,(-2),,,"01:47:16 (-1)",,04:17:56,"03:41:45 (-1)","00:48:32 (-1)",,02:44:45,00:16:40,
65,"team0143 南方科技大学1队 南方科技大学",6,14:39:12,"04:26:42 (-2)",,,02:15:24,,,02:35:02,"00:52:44 (-1)",,"01:36:39 (-4)",00:32:41,
66,"team0065 WMU-2 温州医科大学",6,14:50:30,,,(-2),02:41:11,,"04:16:53 (-2)",03:26:59,00:41:58,,"01:13:27 (-1)",01:30:02,
67,"team0767 NFLS-T12 南京外国语学校",6,14:50:33,,03:34:15,,"02:32:50 (-1)",,04:06:46,(-6),01:13:24,,01:44:11,01:19:07,
68,"team0928 fduteam08 复旦大学",6,15:06:04,,,,00:54:40,,"04:37:08 (-1)",02:09:14,"01:31:52 (-1)",,"03:22:32 (-2)",01:10:38,
69,"team0895 厦大三队 厦门大学",6,15:13:43,03:09:44,,,"02:30:41 (-3)",,(-2),04:24:11,"01:22:54 (-1)",,01:53:43,00:32:30,
70,"team0687 njusz02 南京大学苏州校区",6,15:18:13,04:39:17,,,"04:00:02 (-1)",,,02:53:03,"01:29:52 (-1)",,01:08:06,00:27:53,
71,"team0211 HITS001 哈尔滨工业大学",6,15:24:10,(-1),,,02:03:54,,"04:21:12 (-1)","03:53:30 (-1)","01:29:42 (-1)",,"01:20:10 (-1)",00:55:42,
72,"team0932 fduteam12 复旦大学",6,15:45:33,,,,"04:36:32 (-1)",,"02:46:57 (-2)",04:56:01,"00:32:45 (-1)",,00:56:02,00:37:16,
73,"team0896 厦大四队 厦门大学",6,16:10:17,04:42:57,,,02:38:27,,,03:30:35,01:14:24,,02:06:20,"01:17:34 (-2)",
74,"team0079 101是回文串 东北师范大学",6,16:24:27,,,,02:07:11,,"04:02:46 (-2)",04:38:00,00:48:13,,"02:15:42 (-4)",00:32:35,
75,"team0575 YWZX05 义乌中学",6,16:36:25,03:02:14,,,00:37:21,,,04:25:51,01:21:50,,04:30:35,02:38:34,
76,"team0308 华附3队 华南师范大学附属中学",6,16:49:49,,02:50:09,,"01:25:46 (-1)",,(-8),"04:35:06 (-1)","00:34:16 (-2)",,01:41:28,"03:43:04 (-2)",
77,"team0774 NFLS-T19 南京外国语学校",6,17:10:37,,03:17:28,,"03:57:43 (-11)",,(-4),01:26:16,"01:47:45 (-1)",,01:50:33,00:50:52,
78,"team0232 佐伯米莉亚 宁德师范学院",6,17:25:53,,"03:16:35 (-1)",,"03:22:57 (-2)",,(-6),04:43:34,"01:07:43 (-2)",,02:34:36,00:40:28,
79,"team0703 交流障碍星人 吉林大学",6,17:56:02,,,,"03:07:38 (-4)",,"04:26:57 (-5)",02:02:38,"01:45:51 (-1)",,02:29:34,00:43:24,
80,"team0089 不是清北一队 北京邮电大学",6,19:42:19,(-2),,,"04:31:02 (-5)",,03:39:41,02:21:46,"02:10:03 (-1)",,"02:44:57 (-1)","01:34:50 (-1)",
81,"team0584 UESTC-4队 电子科技大学",6,19:57:18,,,,"03:57:07 (-3)",,"04:55:23 (-4)",04:34:38,"01:06:58 (-2)",,01:47:01,00:36:11,
82,"team0327 双十中学2队 福建省厦门双十中学",6,20:33:42,(-5),03:59:25,,01:17:29,,,"02:27:50 (-1)","02:29:04 (-2)",,"04:18:10 (-1)",04:41:44,
83,"team0773 NFLS-T18 南京外国语学校",6,21:07:27,,04:54:11,,"02:48:08 (-1)",,,"03:39:43 (-1)","01:33:42 (-4)",,"02:51:21 (-6)","01:00:22 (-1)",
84,"team0914 2026杭电14队 杭州电子科技大学",6,22:13:03,,"03:48:31 (-4)",,"02:27:09 (-1)",,(-5),04:45:10,00:37:56,,"03:20:27 (-16)",00:13:50,
85,"team0576 YWZX06 义乌中学",6,22:34:53,"03:01:54 (-2)",,,00:37:06,,(-2),04:25:37,"01:21:39 (-6)",,"04:30:16 (-3)","02:38:21 (-7)",
86,"team0063 UPC1953 中国石油大学（华东）",6,22:58:33,"01:11:03 (-2)",,,04:04:11,,,"04:04:33 (-6)","02:00:43 (-5)",,"03:08:46 (-5)","02:09:17 (-1)",
87,"team0923 fduteam03 复旦大学",6,24:04:33,,,,"02:40:37 (-5)",,04:47:01,04:07:05,"01:42:43 (-6)",,"03:08:10 (-1)",03:38:57,
88,"team0781 SMZX03 佛山石门中学",5,06:40:01,,,,01:26:59,,,00:48:54,"01:25:08 (-1)",,02:01:11,00:37:49,
89,"team0766 NFLS-T11 南京外国语学校",5,06:48:21,,,,"01:37:11 (-1)",,,01:24:52,"00:47:04 (-1)",,00:22:46,01:56:28,
90,"team0443 NEU_Team01 东北大学",5,06:50:50,,,,02:18:48,,(-2),02:01:16,00:30:19,,01:10:28,00:49:59,
91,"team0927 fduteam07 复旦大学",5,08:22:16,(-3),,,"03:17:31 (-1)",,(-2),01:25:09,00:10:06,,"01:01:37 (-1)",01:47:53,
92,"team0789 甄综术艺 浙江省瑞安中学",5,08:52:19,,,,02:44:53,,(-15),"01:55:27 (-1)","01:45:59 (-2)",,00:48:56,00:37:04,
93,"team0778 NFLS-T23 南京外国语学校",5,09:08:37,,,,02:18:17,,,"00:51:45 (-1)","01:29:11 (-1)",,"01:17:23 (-1)",02:12:01,
94,"team0113 妈妈 华东师范大学",5,09:27:31,,,,02:44:15,,,03:21:59,"00:30:22 (-1)",,01:34:02,00:56:53,
95,"team0083 SSL02 东莞市东莞中学松山湖学校",5,09:31:06,,,,02:31:09,,(-1),02:33:26,"01:06:59 (-1)",,01:47:31,"00:52:01 (-1)",
96,"team0461 njupt26t01 南京邮电大学",5,09:32:11,,,,"01:34:21 (-1)",,(-3),03:08:44,"01:33:51 (-2)",,01:30:19,00:44:56,
97,"team0920 正在被计算机系统肘击 华南农业大学",5,09:36:10,,,,02:39:37,,,04:12:44,00:57:14,,01:33:01,00:13:34,
98,"team0816 nbu8 宁波大学",5,09:36:35,,,,02:15:48,,(-2),"02:23:13 (-1)","01:25:44 (-3)",,"01:19:17 (-1)",00:32:33,
99,"team0667 SWUN-T1 西南民族大学",5,09:55:17,,,,02:02:26,,,03:33:57,"00:55:29 (-1)",,"01:38:52 (-1)",01:04:33,
100,"team0319 华附14队 华南师范大学附属中学",5,09:55:28,,,,01:54:23,,,"03:48:55 (-3)","00:46:29 (-1)",,"01:20:58 (-1)",00:24:43,
101,"team0810 nbu2 宁波大学",5,10:18:26,,,,"01:35:40 (-1)",,,"02:52:18 (-7)","00:35:40 (-3)",,"01:02:46 (-1)",00:12:02,
