ISO2022CN  fail: ISO2022CN
ISO-2022-CN-EXT  fail: ISO-2022-CN-EXT
ISO2022CNEXT  fail: ISO2022CNEXT
ISO-2022-JP  fail: ISO-2022-JP
ISO2022JP  fail: ISO2022JP
ISO-2022-JP-2  fail: ISO-2022-JP-2
ISO2022JP2  fail: ISO2022JP2
ISO-2022-JP-3  fail: ISO-2022-JP-3
ISO-2022-KR  fail: ISO-2022-KR
ISO2022KR  fail: ISO2022KR
ISO_2033  fail: ISO_2033
ISO_2033-1983  fail: ISO_2033-1983
ISO_5427  fail: ISO_5427
ISO_5427:1981  fail: ISO_5427:1981
ISO_5427-EXT  fail: ISO_5427-EXT
ISO_5427EXT  fail: ISO_5427EXT
ISO_5428  fail: ISO_5428
ISO_5428:1980  fail: ISO_5428:1980
ISO646-CA  fail: ISO646-CA
ISO646-CA2  fail: ISO646-CA2
ISO646-CN  fail: ISO646-CN
ISO646-CU  fail: ISO646-CU
ISO646-DE  fail: ISO646-DE
ISO646-DK  fail: ISO646-DK
ISO646-ES  fail: ISO646-ES
ISO646-ES2  fail: ISO646-ES2
ISO646-FI  fail: ISO646-FI
ISO646-FR  fail: ISO646-FR
ISO646-FR1  fail: ISO646-FR1
ISO646-GB  fail: ISO646-GB
ISO646-HU  fail: ISO646-HU
ISO_646.IRV:1991  fail: ISO_646.IRV:1991
ISO646-IT  fail: ISO646-IT
ISO646-JP  fail: ISO646-JP
ISO646-JP-OCR-B  fail: ISO646-JP-OCR-B
ISO646-KR  fail: ISO646-KR
ISO646-NO  fail: ISO646-NO
ISO646-NO2  fail: ISO646-NO2
ISO646-PT  fail: ISO646-PT
ISO646-PT2  fail: ISO646-PT2
ISO646-SE  fail: ISO646-SE
ISO646-SE2  fail: ISO646-SE2
ISO646-US  fail: ISO646-US
ISO646-YU  fail: ISO646-YU
